"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"덕진구","총인구수[명]","명","271260","276797","284731","288004","286727","282422","276147","276849","272781","273798","274996","279273","282270","283606","283258","284877","286388","288005","286677","289899","289952","306026","315555","317714","321465","318922","315549","313741",
"덕진구","남자인구수[명]","명","134843","137748","141683","143265","142489","140386","137681","137875","135939","136387","137023","139151","140751","141376","141245","142124","142881","143498","142833","144270","144366","152395","157056","158129","159933","158430","156730","155974",
"덕진구","여자인구수[명]","명","136417","139049","143048","144739","144238","142036","138466","138974","136842","137411","137973","140122","141519","142230","142013","142753","143507","144507","143844","145629","145586","153631","158499","159585","161532","160492","158819","157767",
"전주시효자출장소","총인구수[명]","명","154097","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"전주시효자출장소","남자인구수[명]","명","75819","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"전주시효자출장소","여자인구수[명]","명","78278","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"군산시","총인구수[명]","명","280648","280666","279644","277491","276717","272007","268639","265168","263120","260989","260562","263845","266922","272601","275659","278341","278319","278098","278398","277551","274997","272645","270131","267859","265304","262467","259980","258047",
"군산시","남자인구수[명]","명","141136","141262","140754","139602","138985","136922","135316","133643","132741","131744","131932","133832","135581","138380","140108","141486","141436","141252","141328","140793","139246","137897","136421","135332","134290","132887","131719","130936",
"군산시","여자인구수[명]","명","139512","139404","138890","137889","137732","135085","133323","131525","130379","129245","128630","130013","131341","134221","135551","136855","136883","136846","137070","136758","135751","134748","133710","132527","131014","129580","128261","127111",
"익산시","총인구수[명]","명","330310","333788","335277","334324","334757","330101","325238","322378","318506","315094","313590","309269","306669","307289","309804","306469","306539","304117","302061","300479","300187","294062","287771","282276","278113","273697","270036","268001",
"익산시","남자인구수[명]","명","164103","165995","166861","166602","166837","164595","162290","160934","159043","157548","156648","154648","153348","153673","155042","153203","153261","151864","150621","149740","149587","146494","143392","140573","138427","136330","134381","133433",
"익산시","여자인구수[명]","명","166207","167793","168416","167722","167920","165506","162948","161444","159463","157546","156942","154621","153321","153616","154762","153266","153278","152253","151440","150739","150600","147568","144379","141703","139686","137367","135655","134568",
"익산시함열출장소","총인구수[명]","명","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"익산시함열출장소","남자인구수[명]","명","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"익산시함열출장소","여자인구수[명]","명","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","",
"정읍시","총인구수[명]","명","150343","150505","151134","152022","151813","139133","155319","132285","129050","126249","124239","122842","121545","122000","120466","119392","118328","117183","115977","115173","113776","112169","110541","108508","106487","105081","103620","102127",
"정읍시","남자인구수[명]","명","74031","74241","74270","74401","74225","68522","75220","65218","63695","62449","61489","60711","60094","60396","59639","59092","58508","57922","57335","57008","56365","55529","54736","53791","52892","52272","51624","50997",
"정읍시","여자인구수[명]","명","76312","76264","76864","77621","77588","70611","80099","67067","65355","63800","62750","62131","61451","61604","60827","60300","59820","59261","58642","58165","57411","56640","55805","54717","53595","52809","51996","51130",
"남원시","총인구수[명]","명","107180","106300","104544","103571","103977","100392","101950","96243","93670","91265","89247","88356","87675","87775","87455","87000","86460","85643","84856","84188","83281","82554","81441","80662","79431","77948","76781","75647",
"남원시","남자인구수[명]","명","53006","52615","51856","51130","51263","49643","50197","47495","46201","44904","43837","43446","43199","43236","42944","42730","42415","42034","41634","41341","40868","40508","39884","39560","38965","38246","37674","37120",
"남원시","여자인구수[명]","명","54174","53685","52688","52441","52714","50749","51753","48748","47469","46361","45410","44910","44476","44539","44511","44270","44045","43609","43222","42847","42413","42046","41557","41102","40466","39702","39107","38527",
"김제시","총인구수[명]","명","122761","121636","118563","115865","115244","110989","110710","105195","102720","100238","97615","95807","94770","94346","93111","92317","91218","90108","88721","87782","86926","85331","83895","82450","80913","81455","81430","80635",
"김제시","남자인구수[명]","명","61266","60838","59387","57871","57386","55360","55101","52545","51298","50111","48726","47869","47288","46941","46202","45830","45207","44657","43957","43527","43110","42357","41624","40844","40193","40476","40631","40360",
"김제시","여자인구수[명]","명","61495","60798","59176","57994","57858","55629","55609","52650","51422","50127","48889","47938","47482","47405","46909","46487","46011","45451","44764","44255","43816","42974","42271","41606","40720","40979","40799","40275",
"완주군","총인구수[명]","명","86055","86138","85540","84009","86719","84626","83649","82482","83651","83199","82972","83757","83885","85119","84660","86164","86978","90377","95303","95480","95975","94444","92220","91609","91142","92422","97827","99279",
"완주군","남자인구수[명]","명","43848","43991","43738","43039","44259","43319","42831","42323","43102","42953","42857","43257","43210","43775","43389","44165","44635","46425","48889","48950","49282","48457","47290","47077","46845","47529","50192","50965",
